BlackPlayer,WhitePlayer,Episodes,BlackWins,WhiteWins,Draws,BlackParams,WhiteParams,AlternatingStart,timestamp
RandomAgent,MinAgent,50,28,19,3,None,None,True,1731625872.355954
RandomAgent,MaxAgent,50,17,33,0,None,None,True,1731625874.5988202
MinAgent,MaxAgent,50,0,50,0,None,None,False,1731625875.669198
MaxAgent,MinAgent,50,0,50,0,None,None,False,1731625876.7035
MinAgent,MaxAgent,50,25,24,1,epsilon_0.05,epsilon_0.05,True,1731625877.7138162
RandomAgent,SimpleQLearningAgent,100,51,44,5,None,experience_learned,True,1731626395.501468
MinAgent,SimpleQLearningAgent,100,35,65,0,None,experience_learned,True,1731626397.5862248
MaxAgent,SimpleQLearningAgent,100,53,45,2,None,experience_learned,True,1731626399.5879622
RandomAgent,SimpleQLearningAgent,100,46,45,9,None,experience_learned,True,1731627661.672218
MinAgent,SimpleQLearningAgent,100,42,54,4,None,experience_learned,True,1731627663.747901
MaxAgent,SimpleQLearningAgent,100,60,36,4,None,experience_learned,True,1731627665.73956
RandomAgent,SimpleQLearningAgent,100,50,45,5,None,experience_learned,True,1731628531.348325
MinAgent,SimpleQLearningAgent,100,39,56,5,None,experience_learned,True,1731628533.422663
MaxAgent,SimpleQLearningAgent,100,57,40,3,None,experience_learned,True,1731628535.537765
RandomAgent,SimpleQLearningAgent,100,50,47,3,None,experience_learned,True,1731629406.062657
MinAgent,SimpleQLearningAgent,100,49,49,2,None,experience_learned,True,1731629408.1370409
MaxAgent,SimpleQLearningAgent,100,52,41,7,None,experience_learned,True,1731629410.0948968
RandomAgent,SimpleQLearningAgent,100,52,44,4,None,experience_learned,True,1731630293.842996
MinAgent,SimpleQLearningAgent,100,47,51,2,None,experience_learned,True,1731630295.906986
MaxAgent,SimpleQLearningAgent,100,61,37,2,None,experience_learned,True,1731630297.8826308
RandomAgent,SimpleQLearningAgent,100,42,53,5,None,experience_learned,True,1731631211.1768808
MinAgent,SimpleQLearningAgent,100,40,57,3,None,experience_learned,True,1731631213.236493
MaxAgent,SimpleQLearningAgent,100,45,49,6,None,experience_learned,True,1731631215.270002
RandomAgent,SimpleQLearningAgent,100,48,48,4,None,experience_learned,True,1731632157.3083289
MinAgent,SimpleQLearningAgent,100,36,60,4,None,experience_learned,True,1731632159.396641
MaxAgent,SimpleQLearningAgent,100,65,34,1,None,experience_learned,True,1731632161.441228
RandomAgent,SimpleQLearningAgent,100,52,44,4,None,experience_learned,True,1731633125.449881
MinAgent,SimpleQLearningAgent,100,55,44,1,None,experience_learned,True,1731633127.5614579
MaxAgent,SimpleQLearningAgent,100,68,30,2,None,experience_learned,True,1731633129.540716
RandomAgent,SimpleQLearningAgent,100,50,47,3,None,experience_learned,True,1731634115.593838
MinAgent,SimpleQLearningAgent,100,41,58,1,None,experience_learned,True,1731634117.6845062
MaxAgent,SimpleQLearningAgent,100,72,25,3,None,experience_learned,True,1731634119.766006
RandomAgent,SimpleQLearningAgent,100,50,47,3,None,experience_learned,True,1731635092.538024
MinAgent,SimpleQLearningAgent,100,34,64,2,None,experience_learned,True,1731635094.673335
MaxAgent,SimpleQLearningAgent,100,65,31,4,None,experience_learned,True,1731635096.6305752
RandomAgent,SimpleQLearningAgent,100,46,45,9,None,experience_learned,True,1731636129.791907
MinAgent,SimpleQLearningAgent,100,47,51,2,None,experience_learned,True,1731636131.965989
MaxAgent,SimpleQLearningAgent,100,62,37,1,None,experience_learned,True,1731636134.006539
RandomAgent,SimpleQLearningAgent,100,37,60,3,None,experience_learned,True,1731637235.34561
MinAgent,SimpleQLearningAgent,100,46,50,4,None,experience_learned,True,1731637237.462205
MaxAgent,SimpleQLearningAgent,100,59,35,6,None,experience_learned,True,1731637239.509079
RandomAgent,SimpleQLearningAgent,100,56,41,3,None,experience_learned,True,1731638450.152504
MinAgent,SimpleQLearningAgent,100,48,50,2,None,experience_learned,True,1731638452.391551
MaxAgent,SimpleQLearningAgent,100,67,33,0,None,experience_learned,True,1731638454.3924391
RandomAgent,SimpleQLearningAgent,100,45,52,3,None,experience_learned,True,1731639712.1708832
MinAgent,SimpleQLearningAgent,100,40,58,2,None,experience_learned,True,1731639714.355254
MaxAgent,SimpleQLearningAgent,100,58,40,2,None,experience_learned,True,1731639716.3549562
RandomAgent,SimpleQLearningAgent,100,42,55,3,None,experience_learned,True,1731641383.7765682
MinAgent,SimpleQLearningAgent,100,44,52,4,None,experience_learned,True,1731641385.967694
MaxAgent,SimpleQLearningAgent,100,62,32,6,None,experience_learned,True,1731641388.0401878
RandomAgent,SimpleQLearningAgent,100,47,48,5,None,experience_learned,True,1731643305.348885
MinAgent,SimpleQLearningAgent,100,45,50,5,None,experience_learned,True,1731643307.573165
MaxAgent,SimpleQLearningAgent,100,63,36,1,None,experience_learned,True,1731643309.685459
RandomAgent,SimpleQLearningAgent,100,44,55,1,None,experience_learned,True,1731645267.4676712
MinAgent,SimpleQLearningAgent,100,40,58,2,None,experience_learned,True,1731645269.6249259
MaxAgent,SimpleQLearningAgent,100,53,44,3,None,experience_learned,True,1731645271.730726
RandomAgent,SimpleQLearningAgent,100,49,48,3,None,experience_learned,True,1731647900.92047
MinAgent,SimpleQLearningAgent,100,48,52,0,None,experience_learned,True,1731647903.126463
MaxAgent,SimpleQLearningAgent,100,52,41,7,None,experience_learned,True,1731647905.353874
RandomAgent,SimpleQLearningAgent,100,53,45,2,None,experience_learned,True,1731650418.442564
MinAgent,SimpleQLearningAgent,100,37,61,2,None,experience_learned,True,1731650420.651623
MaxAgent,SimpleQLearningAgent,100,65,33,2,None,experience_learned,True,1731650422.702708
RandomAgent,SimpleQLearningAgent,100,47,49,4,None,experience_learned,True,1731653724.8823
MinAgent,SimpleQLearningAgent,100,50,47,3,None,experience_learned,True,1731653727.1345868
MaxAgent,SimpleQLearningAgent,100,48,49,3,None,experience_learned,True,1731653729.277339
RandomAgent,SimpleQLearningAgent,100,49,47,4,None,experience_learned,True,1731656776.621519
MinAgent,SimpleQLearningAgent,100,45,51,4,None,experience_learned,True,1731656778.992922
MaxAgent,SimpleQLearningAgent,100,63,35,2,None,experience_learned,True,1731656781.0885508
RandomAgent,SimpleQLearningAgent,100,38,61,1,None,experience_learned,True,1731660913.2614589
MinAgent,SimpleQLearningAgent,100,42,56,2,None,experience_learned,True,1731660915.5286689
MaxAgent,SimpleQLearningAgent,100,58,37,5,None,experience_learned,True,1731660917.701639
RandomAgent,SimpleQLearningAgent,100,51,45,4,None,experience_learned,True,1731664640.326082
MinAgent,SimpleQLearningAgent,100,47,53,0,None,experience_learned,True,1731664642.5507221
MaxAgent,SimpleQLearningAgent,100,55,40,5,None,experience_learned,True,1731664644.7070038
